Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6b/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 18 04:40 2025
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
[NOTE]107550.0ns Packet #318 Successfully Compared Cvrg = 90.62
[NOTE]108150.0ns Packet #319 Successfully Compared Cvrg = 90.62
[NOTE]108350.0ns Packet #320 Successfully Compared Cvrg = 90.62
[NOTE]108950.0ns Packet #321 Successfully Compared Cvrg = 90.62
[NOTE]108950.0ns Packet #322 Successfully Compared Cvrg = 90.62
[NOTE]109150.0ns Packet #323 Successfully Compared Cvrg = 90.76
[NOTE]110050.0ns Packet #324 Successfully Compared Cvrg = 90.76
[NOTE]110650.0ns Packet #325 Successfully Compared Cvrg = 90.76
[NOTE]110850.0ns Packet #326 Successfully Compared Cvrg = 90.76
[NOTE]111450.0ns Packet #327 Successfully Compared Cvrg = 90.76
[NOTE]111450.0ns Packet #328 Successfully Compared Cvrg = 90.76
[NOTE]111450.0ns Packet #329 Successfully Compared Cvrg = 90.89
[NOTE]111650.0ns Packet #330 Successfully Compared Cvrg = 90.89
[NOTE]111650.0ns Packet #331 Successfully Compared Cvrg = 90.89
[NOTE]111650.0ns Packet #332 Successfully Compared Cvrg = 90.89
[NOTE]112250.0ns Packet #333 Successfully Compared Cvrg = 90.89
[NOTE]112450.0ns Packet #334 Successfully Compared Cvrg = 90.89
[NOTE]113950.0ns Packet #335 Successfully Compared Cvrg = 90.89
[NOTE]114150.0ns Packet #336 Successfully Compared Cvrg = 90.89
[NOTE]114750.0ns Packet #337 Successfully Compared Cvrg = 90.89
[NOTE]114750.0ns Packet #338 Successfully Compared Cvrg = 90.89
[NOTE]114750.0ns Packet #339 Successfully Compared Cvrg = 90.89
[NOTE]114950.0ns Packet #340 Successfully Compared Cvrg = 90.89
[NOTE]115550.0ns Packet #341 Successfully Compared Cvrg = 91.02
[NOTE]115750.0ns Packet #342 Successfully Compared Cvrg = 91.02
[NOTE]115750.0ns Packet #343 Successfully Compared Cvrg = 91.02
[NOTE]116350.0ns Packet #344 Successfully Compared Cvrg = 91.15
[NOTE]116450.0ns Packet #345 Successfully Compared Cvrg = 91.15
