Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6a/./simv -l simv.log +ntb_random_seed=1 -cm line+fsm+tgl
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 20 13:42 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
[NOTE]97550.0ns Packet #269 Successfully Compared Cvrg = 89.19
[NOTE]97550.0ns Packet #270 Successfully Compared Cvrg = 89.32
[NOTE]98350.0ns Packet #271 Successfully Compared Cvrg = 89.32
[NOTE]99050.0ns Packet #272 Successfully Compared Cvrg = 89.32
[NOTE]99150.0ns Packet #273 Successfully Compared Cvrg = 89.32
[NOTE]99150.0ns Packet #274 Successfully Compared Cvrg = 89.32
[NOTE]99250.0ns Packet #275 Successfully Compared Cvrg = 89.32
[NOTE]99950.0ns Packet #276 Successfully Compared Cvrg = 89.32
[NOTE]100050.0ns Packet #277 Successfully Compared Cvrg = 89.45
[NOTE]100850.0ns Packet #278 Successfully Compared Cvrg = 89.58
[NOTE]100850.0ns Packet #279 Successfully Compared Cvrg = 89.58
[NOTE]100850.0ns Packet #280 Successfully Compared Cvrg = 89.58
[NOTE]101650.0ns Packet #281 Successfully Compared Cvrg = 89.58
[NOTE]101650.0ns Packet #282 Successfully Compared Cvrg = 89.71
[NOTE]102450.0ns Packet #283 Successfully Compared Cvrg = 89.84
[NOTE]103150.0ns Packet #284 Successfully Compared Cvrg = 89.84
[NOTE]103250.0ns Packet #285 Successfully Compared Cvrg = 89.84
[NOTE]103350.0ns Packet #286 Successfully Compared Cvrg = 89.97
[NOTE]103350.0ns Packet #287 Successfully Compared Cvrg = 89.97
[NOTE]104150.0ns Packet #288 Successfully Compared Cvrg = 89.97
[NOTE]104150.0ns Packet #289 Successfully Compared Cvrg = 90.10
[NOTE]104950.0ns Packet #290 Successfully Compared Cvrg = 90.10
[NOTE]105750.0ns Packet #291 Successfully Compared Cvrg = 90.10
[NOTE]105750.0ns Packet #292 Successfully Compared Cvrg = 90.10
[NOTE]106550.0ns Packet #293 Successfully Compared Cvrg = 90.10
[NOTE]106650.0ns Packet #294 Successfully Compared Cvrg = 90.10
[NOTE]106650.0ns Packet #295 Successfully Compared Cvrg = 90.10
[NOTE]106650.0ns Packet #296 Successfully Compared Cvrg = 90.10
[NOTE]107450.0ns Packet #297 Successfully Compared Cvrg = 90.10
[NOTE]107450.0ns Packet #298 Successfully Compared Cvrg = 90.10
[NOTE]109050.0ns Packet #299 Successfully Compared Cvrg = 90.10
[NOTE]109050.0ns Packet #300 Successfully Compared Cvrg = 90.23
[NOTE]109150.0ns Packet #301 Successfully Compared Cvrg = 90.23
[NOTE]109150.0ns Packet #302 Successfully Compared Cvrg = 90.36
[NOTE]109850.0ns Packet #303 Successfully Compared Cvrg = 90.36
[NOTE]109950.0ns Packet #304 Successfully Compared Cvrg = 90.36
[NOTE]109950.0ns Packet #305 Successfully Compared Cvrg = 90.36
[NOTE]110750.0ns Packet #306 Successfully Compared Cvrg = 90.36
[NOTE]110750.0ns Packet #307 Successfully Compared Cvrg = 90.49
[NOTE]110750.0ns Packet #308 Successfully Compared Cvrg = 90.49
[NOTE]110750.0ns Packet #309 Successfully Compared Cvrg = 90.49
[NOTE]111550.0ns Packet #310 Successfully Compared Cvrg = 90.49
[NOTE]112450.0ns Packet #311 Successfully Compared Cvrg = 90.49
[NOTE]113250.0ns Packet #312 Successfully Compared Cvrg = 90.49
[NOTE]113250.0ns Packet #313 Successfully Compared Cvrg = 90.49
[NOTE]113250.0ns Packet #314 Successfully Compared Cvrg = 90.49
[NOTE]113950.0ns Packet #315 Successfully Compared Cvrg = 90.49
[NOTE]114050.0ns Packet #316 Successfully Compared Cvrg = 90.49
[NOTE]114050.0ns Packet #317 Successfully Compared Cvrg = 90.49
[NOTE]114850.0ns Packet #318 Successfully Compared Cvrg = 90.49
[NOTE]114850.0ns Packet #319 Successfully Compared Cvrg = 90.49
[NOTE]115650.0ns Packet #320 Successfully Compared Cvrg = 90.49
[NOTE]115750.0ns Packet #321 Successfully Compared Cvrg = 90.49
[NOTE]116450.0ns Packet #322 Successfully Compared Cvrg = 90.49
[NOTE]116550.0ns Packet #323 Successfully Compared Cvrg = 90.49
[NOTE]116550.0ns Packet #324 Successfully Compared Cvrg = 90.49
[NOTE]116550.0ns Packet #325 Successfully Compared Cvrg = 90.49
[NOTE]117350.0ns Packet #326 Successfully Compared Cvrg = 90.62
[NOTE]117350.0ns Packet #327 Successfully Compared Cvrg = 90.62
[NOTE]118150.0ns Packet #328 Successfully Compared Cvrg = 90.62
[NOTE]118150.0ns Packet #329 Successfully Compared Cvrg = 90.62
[NOTE]118250.0ns Packet #330 Successfully Compared Cvrg = 90.62
[NOTE]118950.0ns Packet #331 Successfully Compared Cvrg = 90.62
[NOTE]119050.0ns Packet #332 Successfully Compared Cvrg = 90.62
[NOTE]119750.0ns Packet #333 Successfully Compared Cvrg = 90.76
[NOTE]120650.0ns Packet #334 Successfully Compared Cvrg = 90.76
[NOTE]121450.0ns Packet #335 Successfully Compared Cvrg = 90.76
[NOTE]121450.0ns Packet #336 Successfully Compared Cvrg = 90.89
[NOTE]121450.0ns Packet #337 Successfully Compared Cvrg = 90.89
[NOTE]122250.0ns Packet #338 Successfully Compared Cvrg = 91.02
[NOTE]122350.0ns Packet #339 Successfully Compared Cvrg = 91.02
[NOTE]123050.0ns Packet #340 Successfully Compared Cvrg = 91.02
[NOTE]123150.0ns Packet #341 Successfully Compared Cvrg = 91.02
